,x,,,
158,"tuna,blackfin",tuna,,
159,"grunt,striped",grunts,,
160,"angelfish,blue",angelfish,,
161,"snapper,blackfin",snappers,,
162,honeycomb cowfish,cowfish,,
163,"sennet,southern",southern sennet,,
164,"snapper,lane",,,
165,tarpon,,,
166,"needlefish,keeltail",,,
167,"marlin,blue",,,
168,"shark,blacktip",,,
169,"grunt,spanish",,,
170,"needlefishes,g:tyloso",,,
171,"parrotfish,princess",,,
172,"sergeant,night",,,
173,"scad,round",,,
174,"snapper,cubera",,,
175,"grunt,blue striped",,,
176,"moray,purplemouth",,,
177,"lobster,sculp slipper",,,
178,porkfish,,,
179,"porgy,pluma",,,
180,"grunt,white",,,
181,"porgy,g:calamus",,,
182,lookdown,,,
183,"croaker,striped",,,
184,flyingfishes,,,
185,"parrotfish,redtail",,,
186,sharksucker,,,
187,"octopus,g:octopus",,,
188,"shark,caribbean reef",,,
189,"pompano,african",,,
190,"tuna,skipjack",,,
191,"shark,great hammerhd",,,
192,"parrotfish,striped",,,
193,sailors choice,,,
194,"mackerel,cero",,,
195,"moray,staut",,,
196,"porgy,saucereye",,,
197,"filefish,orange",,,
198,"shark,oceanic whiteti",,,
199,marlins,,,
200,"snapper,southern red",,,
201,stingrays,,,
202,bigeyes,,,
203,"grouper,tiger",,,
204,"butterflyfish,spotfin",,,
205,"marlin,white",,,
206,"conch,w indian crown",,,
207,creole fish,,,
208,"hogfish,spotfin",,,
209,"parrotfish,redfin",,,
210,palometa,,,
211,cottonwick,,,
212,"bass,peacock",,,
213,"grouper,yellowfin",,,
214,pinfish,,,
215,balao,,,
216,"jenny,silver",,,
217,"shark,carib sharpnose",,,
218,"damselfish,yellowtail",,,
219,"drum,spotted",,,
220,"jack,cottonmouth",,,
221,snooks,,,
222,"moonfish,atlantic",,,
223,permit,,,
224,bonefishes,,,
225,"tuna,bluefin",,,
226,sea basses,,,
227,gar,,,
228,red hind,,,
229,queen triggerfish,,,
230,red snapper,,,
231,doctor,,,
232,silk snapper,,,
233,dog snapper,,,
234,lane snapper,,,
235,big eye scad,,,
236,carali?,,,
237,barracuda,,,
238,mutton snapper,,,
239,caesar grunt,,,
240,stoplight parrotfish,,,
241,jolthead porgy,,,
242,cresalla jack,,,
243,goatfish,,,
244,lionfish,,,
245,carari?,,,
246,tiger shark,,,
247,french grunt,,,
248,bream,,,
249,bar jack,,,
250,black jack,,,
251,french angel,,,
252,mackeral,,,
253,mahogany snapper,,,
254,scrawled tilefish,,,
255,queen angel,,,
256,lobster,,,
257,unicorn tilefish,,,
258,vermillion snapper,,,
259,cressala jack,,,
260,comad?,,,
261,bungi,,,
262,dolphin,,,
263,shark,,,
264,comad,,,
265,nurse shark,,,
266,black margate?,,,
267,spottey moray,,,
268,scrawled filefish,,,
269,mohagany snapper,,,
270,comgo,,,
271,green moray,,,
272,grey angel,,,
273,naussau grouper,,,
274,rainbow runner,,,
275,black margate,,,
276,sand shark,,,
277,blue parrot,,,
278,spanish hogfish,,,
279,almaco jack,,,
280,horse eye jack,,,
281,black largin?,,,
282,coney?,,,
283,yellowtail snapper,,,
284,casali,,,
285,doctor ,,,
286,white morgate,,,
287,red grouper,,,
288,shark sucker,,,
289,tailor,,,
290,bermuda chub,,,
291,burgi,,,
