species,common,Linf,Mat50
ACANCH,Doctorfish,40,10
ACANCO,Blue tang,40,10
BALIVE,Queen triggerfish,40,10
HOLOAD,Squirrelfish,40,10
LUTJMA,Mahogany snapper,40,10
LUTJSY,Lane snapper,40,10
LUTJVI,Silk snapper,40,10
SERRGU,Red hind,40,10
