species,MSY,lower,upper
doctorfish,907.35,392.7,1338.75
blue tang,1166.3,848.21,1398.14
queen triggerfish,1461.51,1071.45,1719.73
red hind,2207.83,1750.22,2555.995
squirrelfish,1154.52,916.56,1315.89
mahogany snapper,15.1,6.76,23.84
