Species,Method,fish,lower,upper
Blue Tang,LBAR,1.71304137,1.385821517,2.06722245
Doctorfish,LBAR,1.553387351,1.258989514,1.921178631
Queen triggerfish,LBAR,0.485845077,0.223549561,0.832943092
Red Hind,LBAR,0.349294323,0.149416546,0.596826375
Squirrelfish,LBAR,7.15895927,5.978089593,8.732117552
Silk snapper,LBAR,1.260739065,0.940940209,1.651607966
Gar,CatchMSY,1.09134134,0.777496961,1.914006073
