,,,,,
Species,Lc,LBAR,F/FMSY,lower 95% C.I.,upper 95% C.I.
Blue tang,18.00,20.24,1.71,1.39,2.07
Doctorfish,18.00,22.21,1.55,1.26,1.92
Queen triggerfish,30.00,32.32,0.49,0.22,0.83
Red hind,32.00,35.57,0.35,0.15,0.6
Silk snapper,27.50,34.55,1.26,0.94,1.65
