Species Name,SPR,Type,Lower,Upper
Queen triggerfish,74.35858,1,44.604875,100
Red hind,29.89365,2,19.1401,47.74625
Squirrelfish,15.61939341,3,3.846075,46.7535
Doctorfish,19.5,3,5.3563,48.1325
Blue tang,20.21,3,12.23,31.3
Mahogany snapper,26.8679398,2,4.518875,83.972475
