"","common.name","Species.ID","SPECIES_CODE"
"1","doctorfish","ACANCH","ACCH"
"2","lane snapper","LUTJSY","LUSY"
"3","mahogany snapper","LUTJMA","LUMA"
"4","queen triggerfish","BALIVE","BAVE"
"5","red hind","SERRGU","EPGU"
"6","squirrelfish","HOLOAD","HOAD"
"7","blue tang","ACANCO","ACCO"
"8","coney","SERRFU","CEFU"
"9","lionfish","PTERVO",NA
"10","gar","BELO",NA
"11","silk snapper","LUTJVI",NA
"12","bar jack","CARARU","CARU"
"13","redtail parrotfish","SCARVI","SPCH"
