Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent
2015,-999,28.6,-999,0,0,0,0
2015,-999,36,-999,0,0,0,0
2015,-999,34.1,-999,0,0,0,0
2015,-999,31,-999,0,0,0,0
2015,-999,24.6,-999,0,0,0,0
2015,-999,32,-999,0,0,0,0
2015,-999,26.5,-999,0,0,0,0
2015,-999,28,-999,0,0,0,0
2015,-999,31.6,-999,0,0,0,0
2015,-999,27.1,-999,0,0,0,0
2015,-999,27,-999,0,0,0,0
2015,-999,40.1,-999,0,0,0,0
2015,-999,32.5,-999,0,0,0,0
2015,-999,41.1,-999,0,0,0,0
2015,-999,21.5,-999,0,0,0,0
2015,-999,23.2,-999,0,0,0,0
2015,-999,31.6,-999,0,0,0,0
2015,-999,22,-999,0,0,0,0
2015,-999,22.5,-999,0,0,0,0
2015,-999,24.5,-999,0,0,0,0
2015,-999,21.8,-999,0,0,0,0
2015,-999,21.3,-999,0,0,0,0
2015,-999,25.8,-999,0,0,0,0
2015,-999,21.5,-999,0,0,0,0
2015,-999,24.1,-999,0,0,0,0
2015,-999,21.8,-999,0,0,0,0
2015,-999,25.5,-999,0,0,0,0
2015,-999,20.9,-999,0,0,0,0
2015,-999,23.4,-999,0,0,0,0
2015,-999,20.9,-999,0,0,0,0
2015,-999,30.5,-999,0,0,0,0
2015,-999,19.4,-999,0,0,0,0
2015,-999,21.2,-999,0,0,0,0
2015,-999,27,-999,0,0,0,0
2015,-999,20.5,-999,0,0,0,0
2015,-999,29.9,-999,0,0,0,0
2015,-999,20.5,-999,0,0,0,0
2015,-999,28.9,-999,0,0,0,0
2015,-999,18.5,-999,0,0,0,0
2015,-999,24.7,-999,0,0,0,0
2015,-999,21.3,-999,0,0,0,0
2015,-999,20.3,-999,0,0,0,0
2015,-999,39.5,-999,0,0,0,0
2015,-999,30.1,-999,0,0,0,0
2015,-999,25.8,-999,0,0,0,0
2015,-999,24.8,-999,0,0,0,0
2015,-999,23,-999,0,0,0,0
2015,-999,23.2,-999,0,0,0,0
2015,-999,24.3,-999,0,0,0,0
2015,-999,23,-999,0,0,0,0
2015,-999,27,-999,0,0,0,0
2015,-999,29.9,-999,0,0,0,0
2015,-999,21.5,-999,0,0,0,0
2015,-999,24,-999,0,0,0,0
2015,-999,23.6,-999,0,0,0,0
2015,-999,33.4,-999,0,0,0,0
2015,-999,21.8,-999,0,0,0,0
2015,-999,27.5,-999,0,0,0,0
2015,-999,31.7,-999,0,0,0,0
2015,-999,34.5,-999,0,0,0,0
2015,-999,39,-999,0,0,0,0
2015,-999,47.8,-999,0,0,0,0
2015,-999,42,-999,0,0,0,0
2015,-999,38.4,-999,0,0,0,0
2015,-999,23.7,-999,0,0,0,0
2015,-999,21.4,-999,0,0,0,0
2015,-999,20.3,-999,0,0,0,0
2015,-999,56.8,-999,0,0,0,0
2015,-999,36,-999,0,0,0,0
2015,-999,33,-999,0,0,0,0
2015,-999,36.6,-999,0,0,0,0
2015,-999,31.5,-999,0,0,0,0
2015,-999,39.4,-999,0,0,0,0
2015,-999,45.5,-999,0,0,0,0
2015,-999,49,-999,0,0,0,0
2015,-999,24.1,-999,0,0,0,0
2015,-999,22.6,-999,0,0,0,0
2015,-999,22.1,-999,0,0,0,0
2015,-999,32.5,-999,0,0,0,0
2015,-999,23.3,-999,0,0,0,0
2015,-999,33.5,-999,0,0,0,0
2015,-999,24,-999,0,0,0,0
2015,-999,23.1,-999,0,0,0,0
2015,-999,26.5,-999,0,0,0,0
2015,-999,38.2,-999,0,0,0,0
2015,-999,25.8,-999,0,0,0,0
2015,-999,29.4,-999,0,0,0,0
2015,-999,30,-999,0,0,0,0
2015,-999,24.2,-999,0,0,0,0
2015,-999,38,-999,0,0,0,0
2015,-999,46.2,-999,0,0,0,0
2015,-999,31.8,-999,0,0,0,0
2015,-999,28,-999,0,0,0,0
2015,-999,31.7,-999,0,0,0,0
2015,-999,31.9,-999,0,0,0,0
2015,-999,31.5,-999,0,0,0,0
2015,-999,27.9,-999,0,0,0,0
2015,-999,35.6,-999,0,0,0,0
2015,-999,28.5,-999,0,0,0,0
2015,-999,23.5,-999,0,0,0,0
2015,-999,22.4,-999,0,0,0,0
2015,-999,42.6,-999,0,0,0,0
2015,-999,31.4,-999,0,0,0,0
2015,-999,39.5,-999,0,0,0,0
2015,-999,40.7,-999,0,0,0,0
2015,-999,48.1,-999,0,0,0,0
2015,-999,33.9,-999,0,0,0,0
2015,-999,31.5,-999,0,0,0,0
2015,-999,32.5,-999,0,0,0,0
2015,-999,31,-999,0,0,0,0
2015,-999,25.5,-999,0,0,0,0
2015,-999,35.6,-999,0,0,0,0
2015,-999,35.8,-999,0,0,0,0
2015,-999,39.3,-999,0,0,0,0
2015,-999,36.5,-999,0,0,0,0
2015,-999,21.3,-999,0,0,0,0
2015,-999,21,-999,0,0,0,0
2015,-999,28.4,-999,0,0,0,0
2015,-999,25,-999,0,0,0,0
2015,-999,23,-999,0,0,0,0
2015,-999,42.5,-999,0,0,0,0
2015,-999,20.6,-999,0,0,0,0
2015,-999,26,-999,0,0,0,0
2015,-999,34.2,-999,0,0,0,0
2015,-999,43.3,-999,0,0,0,0
2015,-999,40.9,-999,0,0,0,0
2015,-999,35.1,-999,0,0,0,0
2015,-999,21.5,-999,0,0,0,0
2015,-999,37.6,-999,0,0,0,0
2015,-999,29.4,-999,0,0,0,0
2015,-999,22.3,-999,0,0,0,0
2015,-999,26.9,-999,0,0,0,0
2015,-999,32.1,-999,0,0,0,0
2015,-999,40.8,-999,0,0,0,0
2015,-999,30.3,-999,0,0,0,0
2015,-999,19,-999,0,0,0,0
2015,-999,22.8,-999,0,0,0,0
2015,-999,21,-999,0,0,0,0
2015,-999,23.2,-999,0,0,0,0
